OBJECTID,SurveyType,SpeciesName,Stage,Activity,AirTempF,Number of Individuals,SiteSubClass,Alive_Dead,Lon,Lat
564,Other,Green Frog,Jevenile,swimming ,62,6,Kip Trail,Alive,-75.15157102,44.58306176
565,Other,Unidentified Species,Unkown,thermoregulating ,62,1,Kip Trail,Alive,-75.15109434,44.58319017
566,Other,Pickeral Frog,Adult,thermoregulating ,62,1,Kip Trail,Alive,-75.15096685,44.58329452
567,Other,Northern Leopard Frog,Unkown,thermoregulating ,62,1,Kip Trail,Alive,-75.15085705,44.58325735
568,Other,Pickeral Frog,Jevenile,thermoregulating,65,4,Kip Trail,Alive,-75.15086744,44.58328216
569,Other,Green Frog,Adult,"Basking, moving, etc.",59,3,Nature Trail,Alive,-75.1583689,44.58407326
570,Other,Unidentified Species,Adult,dead,59,1,Open Field,Dead,-75.16384283,44.5825753
571,Other,Unidentified Species,Adult,very dead,59,1,XC Trail,Dead,-75.15935996,44.58385198
572,Active,Unidentified Species,Jevenile,Jumping ,65,1,Kip Trail,Alive,-75.15514576,44.5834781
573,Active,Northern Leopard Frog,Adult,jumping ,65,1,Kip Trail,Alive,-75.15451117,44.58354771
574,Active,Unidentified Species,Adult,Thermoregulating,65,1,Kip Trail,Alive ,-75.15462865,44.58347464
575,Active,Northern Leopard Frog,Adult,jumping,67,6,Kip Trail,Alive ,-75.15443771,44.58344731
576,Active,Northern Leopard Frog,Adult,Thermoregulating,0,1,Lacrosse Field,Alive,-75.16061962,44.5850691
577,Incidental,American Toad,Adult,foraging (worms),65,1,Cement Walkway,Alive,-75.16123588,44.58838042
578,Active,Pickeral Frog,Adult,"Basking, moving, etc.",64,1,Golf Course,Alive,-75.15757565,44.5923827
579,Active,Northern Leopard Frog,Adult,jumping,64,1,,alive,-75.16041912,44.58515442
580,Active,American Toad,Jevenile,Sitting,65,1,Saddlemire Trail,Alive,-75.15676972,44.59246399
581,Other,Northern Leopard Frog,Adult,thermoregulating ,65,1,Town Houses,Alive,-75.15617426,44.58846676
582,Active,Green Frog,Adult,tr,64,1,Golf Course,Alive,-75.15521146,44.59196511
583,Active,Green Frog,Adult,tr,64,1,Golf Course,Alive,-75.15508819,44.59188632
