OBJECTID,Date,SurveyType,SpeciesName,Stage,Activity,AirTempF,Number of Individuals,SiteSubClass,Alive_Dead,Lon,Lat
3066,10/12/15,incidental,UNK,UNK,Leaping,nr,,field,Aiive,-75.1387,44.5904
3067,10/12/15,Active,Bullfrog,Adult,Hopping,54,,Golf Course,Aiive,-75.1499,44.588
3068,10/13/15,Active,Northern Leopard Frog,Adult,Basking,55,,Kip Track,Aiive,-75.1553,44.5837
3069,10/13/15,Active,Green Frog,Adult,Basking,55,,Kip Track,Aiive,-75.1664,44.5832
3070,10/13/15,Active,Green Frog,Adult,Basking,55,0,Kip Track,Aiive,-75.1654,44.5824
3071,10/13/15,Road,UNK,UNK,UNK,53,,Road,Aiive,-75.1654,44.5908
3072,10/14/15,Active,Green Frog,Adult,hopping,52,,XC Trail,Aiive,-75.1657,44.5816
3073,10/14/15,Road,UNK,UNK,dead,51,,Road,Dead,-75.1583,44.5846
3074,10/14/15,Road,UNK,UNK,dead,52,,Road,Dead,-75.1588,44.5849
3075,10/14/15,Road,UNK,UNK,dead,52,,Road,Dead,-75.1596,44.5856
3076,10/14/15,Active,Bullfrog,Adult,Sitting/Leaping,57,0,ESL wetland,Aiive,-75.1359,44.5935
3077,10/14/15,Road,UNK,UNK,UNK,52,,Miner Street (b/w athletics and XC trail),Aiive,-75.1662,44.5853
3078,10/14/15,Active,Bullfrog,Adult,Leaping,nr,,ESL wetland,Aiive,-75.1359,44.5935
3079,10/14/15,Active,Bullfrog,Adult,Leaping,nr,,ESL wetland,Aiive,-75.1359,44.5935
3080,10/14/15,Active,Bullfrog,Adult,Leaping,nr,,ESL wetland,Aiive,-75.1359,44.5935
3081,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
3082,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
3083,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
3084,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
3085,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
3086,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1583,44.5831
3087,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1581,44.5829
3088,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3089,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3090,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3091,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3092,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3093,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3094,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3095,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3096,10/15/15,Canoe,NA,NA,Floating,59,,Little River,Aiive,-75.1582,44.5826
3097,9/8/15,Active,American Toad,Adult,Hopping,81,,XC Trail,Aiive,-75.1612,44.5813
3098,9/8/15,Active,American Toad,Adult,Hopping,81,0,XC Trail,Aiive,-75.1612,44.5813
3099,9/8/15,Auditory,UNK,UNK,UNK,81,,XC Trail ,UNK,-75.1607,44.5813
3100,9/11/15,Incidental,Northern Leopard Frog,UNK,Jumping,76,0,Kip Track,Aiive,-75.1655,44.5823
3101,9/12/15,Auditory,UNK,UNK,UNK,61,,ESL,UNK,-75.1391,44.5894
3102,9/12/15,Active,UNK,UNK,Jumping,61,,ESL,Aiive,-75.1409,44.5919
3103,9/14/15,Active,UNK ,UNK,Dead,72,,Kip Track,Dead,-75.1658,44.5835
3104,9/14/15,Active,Green Frog,UNK,Alive,72,,Kip Track,Aiive,-75.1658,44.5835
3105,9/16/15,Auditory,UNK,UNK,Calling,82,,Saddlemire Trail,Aiive,-75.1401,44.5906
3106,9/16/15,Active,Northern Leopard Frog,UNK,Alive,82,,XC Trail,Aiive,-75.16,44.58
3107,9/18/15,Active,Green Frog,Adult,Sitting in water,81,,Kip Track,Aiive,-75.1599,44.5818
3108,9/18/15,Active,Northern Leopard Frog,Adult,Jumping,81,,Kip Track,Aiive,-75.1602,44.5815
3109,9/18/15,Active,Green Frog,Adult,Basking,82,,Kip Track,Aiive,-75.1612,44.5812
3110,9/18/15,Active,Northern Leopard Frog,Adult,Basking,85,,Kip Track,Aiive,-75.1615,44.581
3111,9/18/15,Active,Green Frog,Adult,Basking,82,,Kip Track,Aiive,-75.1616,44.581
3112,9/18/15,Active,UNK,UNK,Sitting in water,81,,Kip Track,Aiive,-75.1617,44.5808
3113,9/18/15,Active,Green Frog,Adult,Basking,82,,Kip Track,Aiive,-75.1618,44.5808
3114,9/21/15,Incidental,UNK,UNK,Hopping,74,,Kip Track,Aiive,-75.1587,44.584
3115,9/21/15,Incidental,UNK,UNK,Hopping,74,,Kip Track,Aiive,-75.1587,44.584
3116,9/21/15,Incidental,UNK,UNK,Hopping,74,3,Kip Track,Aiive,-75.1587,44.584
3117,9/21/15,Active,Green Frog,Adult,Basking,74,,riverbank,Aiive,-75.1613,44.5813
3118,9/21/15,Active,Bullfrog,Adult,Basking,70,,riverbank,Aiive,-75.1616,44.5811
3119,9/21/15,Active,Bullfrog,Adult,Basking,70,,riverbank,Aiive,-75.1616,44.5811
3120,9/21/15,Active,Mink Frog,Adult,Basking,70,,riverbank,Aiive,-75.1618,44.5811
3121,9/22/15,Active,UNK,Adult,Jumping,68,,Kip Tract,Aiive,-75.1527,44.5826
3122,9/22/15,Active,Northern Leopard Frog,Adult,Basking,68,3,Kip Tract,Aiive,-75.1517,44.5832
3123,9/22/15,Active,Bullfrog,Adult,Sitting in water,68,,Kip Tract,Aiive,-75.1517,44.5832
3124,9/22/15,Active,Northern Leopard Frog,Adult,Jumping,68,,Kip Tract,Aiive,-75.1517,44.5832
3125,9/22/15,Active,UNK,Juvenile,Sitting in water,68,,Kip Tract,Aiive,-75.1517,44.5832
3126,9/22/15,Active,Green Frog,Adult,sitting in creek,68,,Kip Tract,Aiive,-75.1517,44.5832
3127,9/22/15,Active,Green Frog,Adult,Hopping,72,,Avenue of Elm,Aiive,-75.1554,44.5926
3128,9/22/15,Active,Green Frog,Adult,Resting,72,,Avenue of Elm,Aiive,-75.1551,44.5927
3129,9/22/15,Active,Northern Leopard Frog,Adult,Hopping,72,,Avenue of Elm,Aiive,-75.1546,44.5927
3130,9/22/15,Active,UNK,Adult,Hopping,72,,Avenue of Elm,Aiive,-75.1542,44.5928
3131,9/23/15,Active,Bullfrog,Metamorph,Swimming,64,,Kip Track,Aiive,-75.1517,44.5831
3132,9/23/15,Active,Bullfrog,Metamorph,Swimming,64,,Kip Track,Aiive,-75.1517,44.5831
3133,9/23/15,Active,Bullfrog,Adult,Hopping,64,,Kip Track,Aiive,-75.1518,44.5831
3134,9/23/15,Active,Bullfrog,Metamorph,Swimming,64,,Kip Track,Aiive,-75.1519,44.5831
3135,9/23/15,Active,Green Frog,Adult,Hopping,65,,Kip Track,Aiive,-75.1519,44.5831
3136,9/23/15,Active,Mink Frog,Adult,Resting,65,,Kip Track,Aiive,-75.1518,44.5831
3137,9/23/15,Active,Bullfrog,Adult,Resting,66,,Kip Track,Aiive,-75.1518,44.5831
3138,9/23/15,Active,Bullfrog,Adult,Swimming,66,,Kip Track,Aiive,-75.1517,44.5831
